GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor1Geo_Extra,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,Actor2Geo_Extra,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,Extra60,country,event_category,event_date,goldstein_norm,cameo_weight,mention_norm,preliminary_severity,event_hash,matched_node_id,matched_sector
1306834118,20260601,202606,2026,2026.4137,,,,,,,,,,,CVL,SETTLEMENT,,,,,,CVL,,,0,190,190,19,4,-10.0,5,1,5,-5.78313253012048,0,,,,,,,,4,"Tshwane, Limpopo, South Africa",SF,SF09,77345,-25.1797,28.1135,-1292416,4,"Tshwane, Limpopo, South Africa",SF,SF09,77345.0,-25.1797,28.1135,-1292416,20260601060000,https://www.citizen.co.za/news/south-africa/teen-dies-as-more-than-200-shacks-razed-in-two-plastic-view-fires-in-under-a-week/,South Africa,Armed Conflict,2026-06-01,1.0,0.9,0.2593,0.7798,ba86f52da8678958200fd7d6137dd772,,
1306834123,20260601,202606,2026,2026.4137,,,,,,,,,,,FRA,FRANCE,FRA,,,,,,,,1,174,174,17,4,-5.0,4,1,4,2.08105147864184,0,,,,,,,,4,"Redbridge, New South Wales, Australia",AS,AS02,5015,-34.4833,148.267,-1597009,4,"Redbridge, New South Wales, Australia",AS,AS02,5015.0,-34.4833,148.267,-1597009,20260601060000,https://theconversation.com/pauline-hanson-attracting-women-voters-its-part-of-a-global-far-right-trend-283384,Australia,Coerce/Sanction,2026-06-01,0.75,0.7,0.233,0.6033,a278a621aece05192f95d2608429b851,TN_AGR_AUS,Agri
1306834215,20260601,202606,2026,2026.4137,AUS,AUSTRALIA,AUS,,,,,,,,,,,,,,,,,,1,180,180,18,4,-9.0,3,1,3,-5.93047034764826,1,Australia,AS,AS,,-25,135,AS,0,,,,,,,,1,Australia,AS,AS,,-25.0,135,AS,20260601060000,https://www.theadvocate.com.au/story/9262992/samuel-bradley-poke-jailed-for-cruel-violence-against-partner/,Australia,Armed Assault,2026-06-01,0.95,0.85,0.2007,0.7277,b523624a21c7232deffcf8f95cf1f75e,TN_AGR_AUS,Agri
1306834234,20260601,202606,2026,2026.4137,BGD,BANGLADESH,BGD,,,,,,,,,,,,,,,,,,1,172,172,17,4,-5.0,10,1,10,-7.77537796976246,1,Bangladesh,BG,BG,,24,90,BG,0,,,,,,,,1,Bangladesh,BG,BG,,24.0,90,BG,20260601060000,https://ianslive.in/rights-body-flags-alleged-political-interference-in-bangladesh-bar-polls--20260601104620,Bangladesh,Coerce/Sanction,2026-06-01,0.75,0.7,0.3471,0.6318,00f32e85ec7563747992cb85e32e0c22,TN_AGR_BAN,Agri
1306834287,20260601,202606,2026,2026.4137,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,181,181,18,4,-9.0,10,1,10,-5.59006211180124,1,France,FR,FR,,46,2,FR,0,,,,,,,,1,France,FR,FR,,46.0,2,FR,20260601060000,https://spanishvida.com/2016/09/28/never-warn-about-checkpoints/,France,Armed Assault,2026-06-01,0.95,0.85,0.3471,0.7643,c5ac8623e0a3ac9371f2554815906050,TN_AGR_FRA,Agri
1306834314,20260601,202606,2026,2026.4137,CVL,VILLAGE,,,,,,CVL,,,LAB,WORKER,,,,,,LAB,,,1,190,190,19,4,-10.0,3,1,3,-10.3846153846154,4,"Bengaluru, Karnataka, India",IN,IN19,70159,12.9833,77.5833,-2090174,4,"Bengaluru, Karnataka, India",IN,IN19,70159,12.9833,77.5833,-2090174,4,"Bengaluru, Karnataka, India",IN,IN19,70159.0,12.9833,77.5833,-2090174,20260601060000,https://www.siasat.com/two-workers-killed-as-compound-wall-collapses-amid-heavy-rain-near-bengaluru-3480554/,India,Armed Conflict,2026-06-01,1.0,0.9,0.2007,0.7652,e480765a4763adeaee48389efc52f1c5,,
1306834361,20260601,202606,2026,2026.4137,GOV,GOVERNMENT,,,,,,GOV,,,,,,,,,,,,,0,1723,172,17,4,-5.0,1,1,1,-1.7467248908297,4,"Karimnagar, Andhra Pradesh, India",IN,IN02,17568,18.4333,79.15,-2099805,0,,,,,,,,4,"Nizamabad, Andhra Pradesh, India",IN,IN02,17560.0,16.5333,78.6667,-2106324,20260601060000,https://aninews.in/news/national/general-news/ktr-demands-cm-revanth-reddy-fulfil-420-promises-before-contesting-next-election20260601095142/,India,Coerce/Sanction,2026-06-01,0.75,0.7,0.1003,0.5701,fe769fc239e9ba9350cfd1a7fbe5641d,,
1306834364,20260601,202606,2026,2026.4137,GOV,KINGDOM,,,,,,GOV,,,,,,,,,,,,,0,190,190,19,4,-10.0,1,1,1,2.67952840300107,4,"Hattin, Al ?asakah, Syria",SY,SY01,26350,37.1469,42.09,9128944,0,,,,,,,,4,"Hattin, Al ?asakah, Syria",SY,SY01,26350.0,37.1469,42.09,9128944,20260601060000,https://theconversation.com/israeli-forces-capture-lebanons-beaufort-castle-a-crusade-era-site-once-held-by-the-knights-templar-284177,Syria,Armed Conflict,2026-06-01,1.0,0.9,0.1003,0.7401,46275d4fca8b5cf44542a98b54ddb03e,,
1306834392,20260601,202606,2026,2026.4137,GOV,GOVERNMENT,,,,,,GOV,,,RUS,RUSSIA,RUS,,,,,,,,0,181,181,18,4,-9.0,1,1,1,-7.02576112412178,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,1,Russia,RS,RS,,60,100,RS,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554.0,50.4333,30.5167,-1044367,20260601060000,http://www.hngn.com/articles/271421/20260601/zelensky-accuses-russian-forces-abducting-ukrainian-children-training-them-fight-war.htm,Ukraine,Armed Assault,2026-06-01,0.95,0.85,0.1003,0.7026,6beebf1c74f933b872e249f2947552a5,TN_AGR_UKR,Agri
1306834393,20260601,202606,2026,2026.4137,GOV,GOVERNMENT,,,,,,GOV,,,RUS,RUSSIA,RUS,,,,,,,,0,181,181,18,4,-9.0,1,1,1,-7.02576112412178,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,1,Russia,RS,RS,,60,100,RS,1,Russia,RS,RS,,60.0,100,RS,20260601060000,http://www.hngn.com/articles/271421/20260601/zelensky-accuses-russian-forces-abducting-ukrainian-children-training-them-fight-war.htm,Russia,Armed Assault,2026-06-01,0.95,0.85,0.1003,0.7026,ea7277c0a287197e2cc1e08183ace445,,
