node_id,snapshot_date,disruption_prob,severity_pred,risk_tier,country,sector,commodity,static_risk_score,lat,lon,insight_text
TN_AUT_MAL,2026-06-08,0.3007,4.0,Medium,Maldives,Automotive,Automotive,0.296,,,
TN_AUT_HON,2026-06-08,0.3007,4.0,Medium,Hong Kong,Automotive,Automotive,0.2891,,,
TN_AUT_KIN,2026-06-08,0.3007,4.0,Medium,Kingdom of the Netherlands,Automotive,Automotive,0.3243,,,
TN_AUT_TUR,2026-06-08,0.3007,4.0,Medium,Turkey,Automotive,Automotive,0.342,,,
TN_AUT_PHI,2026-06-08,0.3007,4.0,Medium,Philippines,Automotive,Automotive,0.3335,,,
TN_AUT_TAI,2026-06-08,0.3007,4.0,Medium,"Taiwan, Province of China",Automotive,Automotive,0.3242,,,
TN_AUT_AUS,2026-06-08,0.3007,4.0,Medium,Austria,Automotive,Automotive,0.1999,,,
TN_AUT_BAN,2026-06-08,0.3007,4.0,Medium,Bangladesh,Automotive,Automotive,0.3519,,,
TN_AUT_FIN,2026-06-08,0.3007,4.0,Medium,Finland,Automotive,Automotive,0.1789,,,
TN_AUT_POL,2026-06-08,0.3007,4.0,Medium,Poland,Automotive,Automotive,0.2519,,,
TN_AUT_ROM,2026-06-08,0.3007,4.0,Medium,Romania,Automotive,Automotive,0.2714,,,
TN_AUT_HUN,2026-06-08,0.3007,4.0,Medium,Hungary,Automotive,Automotive,0.2609,,,
TN_AUT_SRI,2026-06-08,0.3007,4.0,Medium,Sri Lanka,Automotive,Automotive,0.3646,,,
TN_AUT_SLO,2026-06-08,0.3007,4.0,Medium,Slovakia,Automotive,Automotive,0.324,,,
TN_AUT_MYA,2026-06-08,0.3007,4.0,Medium,Myanmar,Automotive,Automotive,0.3893,,,
TN_AUT_SWI,2026-06-08,0.3007,4.0,Medium,Switzerland,Automotive,Automotive,0.1833,,,
TN_AUT_AFG,2026-06-08,0.3007,4.0,Medium,Afghanistan,Automotive,Automotive,0.4052,,,
TN_AUT_ALB,2026-06-08,0.3007,4.0,Medium,Albania,Automotive,Automotive,0.2808,,,
TN_AUT_ARM,2026-06-08,0.3007,4.0,Medium,Armenia,Automotive,Automotive,0.3075,,,
TN_AUT_AZE,2026-06-08,0.3007,4.0,Medium,Azerbaijan,Automotive,Automotive,0.3205,,,
TN_AUT_BAH,2026-06-08,0.3007,4.0,Medium,Bahrain,Automotive,Automotive,0.3015,,,
TN_AUT_BHU,2026-06-08,0.3007,4.0,Medium,Bhutan,Automotive,Automotive,0.3047,,,
TN_AUT_BOS,2026-06-08,0.3007,4.0,Medium,Bosnia and Herzegovina,Automotive,Automotive,0.3195,,,
TN_AUT_BRU,2026-06-08,0.3007,4.0,Medium,Brunei Darussalam,Automotive,Automotive,0.2755,,,
TN_AUT_BUL,2026-06-08,0.3007,4.0,Medium,Bulgaria,Automotive,Automotive,0.2683,,,
TN_AUT_CAM,2026-06-08,0.3007,4.0,Medium,Cambodia,Automotive,Automotive,0.3395,,,
TN_AUT_CRO,2026-06-08,0.3007,4.0,Medium,Croatia,Automotive,Automotive,0.2605,,,
TN_AUT_CYP,2026-06-08,0.3007,4.0,Medium,Cyprus,Automotive,Automotive,0.2813,,,
TN_AUT_DEM,2026-06-08,0.3007,4.0,Medium,Democratic People's Republic of Korea,Automotive,Automotive,0.324,,,
TN_AUT_DEN,2026-06-08,0.3007,4.0,Medium,Denmark,Automotive,Automotive,0.1835,,,
TN_AUT_EST,2026-06-08,0.3007,4.0,Medium,Estonia,Automotive,Automotive,0.2353,,,
TN_AUT_FIJ,2026-06-08,0.3007,4.0,Medium,Fiji,Automotive,Automotive,0.3143,,,
TN_AUT_GEO,2026-06-08,0.3007,4.0,Medium,Georgia,Automotive,Automotive,0.3185,,,
TN_AUT_GRE,2026-06-08,0.3007,4.0,Medium,Greece,Automotive,Automotive,0.2765,,,
TN_AUT_HOL,2026-06-08,0.3007,4.0,Medium,Holy See(Vatican City),Automotive,Automotive,0.324,,,
TN_AUT_ICE,2026-06-08,0.3007,4.0,Medium,Iceland,Automotive,Automotive,0.178,,,
TN_AUT_IRA,2026-06-08,0.3007,4.0,Medium,Iraq,Automotive,Automotive,0.3673,,,
TN_AUT_IRE,2026-06-08,0.3007,4.0,Medium,Ireland,Automotive,Automotive,0.1875,,,
TN_AUT_ISL,2026-06-08,0.3007,4.0,Medium,Islamic Republic of Iran,Automotive,Automotive,0.324,,,
TN_AUT_ISR,2026-06-08,0.3007,4.0,Medium,Israel,Automotive,Automotive,0.249,,,
TN_AUT_JOR,2026-06-08,0.3007,4.0,Medium,Jordan,Automotive,Automotive,0.328,,,
TN_AUT_KAZ,2026-06-08,0.3007,4.0,Medium,Kazakhstan,Automotive,Automotive,0.2903,,,
TN_AUT_KUW,2026-06-08,0.3007,4.0,Medium,Kuwait,Automotive,Automotive,0.2668,,,
TN_AUT_LAT,2026-06-08,0.3007,4.0,Medium,Latvia,Automotive,Automotive,0.247,,,
TN_AUT_LEB,2026-06-08,0.3007,4.0,Medium,Lebanon,Automotive,Automotive,0.3683,,,
TN_AUT_LIE,2026-06-08,0.3007,4.0,Medium,Liechtenstein,Automotive,Automotive,0.324,,,
TN_AUT_LIT,2026-06-08,0.3007,4.0,Medium,Lithuania,Automotive,Automotive,0.2372,,,
TN_AUT_LUX,2026-06-08,0.3007,4.0,Medium,Luxembourg,Automotive,Automotive,0.1875,,,
TN_AUT_MAR,2026-06-08,0.3007,4.0,Medium,Marshall Islands,Automotive,Automotive,0.324,,,
TN_AUT_MON,2026-06-08,0.3007,4.0,Medium,Monaco,Automotive,Automotive,0.324,,,
TN_AUT_NEP,2026-06-08,0.3007,4.0,Medium,Nepal,Automotive,Automotive,0.3392,,,
TN_AUT_NET,2026-06-08,0.3007,4.0,Medium,Netherlands Antilles,Automotive,Automotive,0.324,,,
TN_AUT_NEW,2026-06-08,0.3007,4.0,Medium,New Zealand,Automotive,Automotive,0.1805,,,
TN_AUT_NOR,2026-06-08,0.3007,4.0,Medium,North Macedonia,Automotive,Automotive,0.324,,,
TN_AUT_OMA,2026-06-08,0.3007,4.0,Medium,Oman,Automotive,Automotive,0.2605,,,
TN_AUT_PAK,2026-06-08,0.3007,4.0,Medium,Pakistan,Automotive,Automotive,0.3635,,,
TN_AUT_PAP,2026-06-08,0.3007,4.0,Medium,Papua New Guinea,Automotive,Automotive,0.334,,,
TN_AUT_POR,2026-06-08,0.3007,4.0,Medium,Portugal,Automotive,Automotive,0.203,,,
TN_AUT_QAT,2026-06-08,0.3007,4.0,Medium,Qatar,Automotive,Automotive,0.24,,,
TN_AUT_RUS,2026-06-08,0.3007,4.0,Medium,Russian Federation,Automotive,Automotive,0.324,,,
TN_AUT_SAN,2026-06-08,0.3007,4.0,Medium,San Marino,Automotive,Automotive,0.324,,,
TN_AUT_SAU,2026-06-08,0.3007,4.0,Medium,Saudi Arabia,Automotive,Automotive,0.302,,,
